Domain,IPv4
google.com,172.217.163.46
youtube.com,31.13.95.48
baidu.com,110.242.68.66,39.156.66.10
bilibili.com,119.3.70.188,139.159.241.37,8.134.50.24,47.103.24.173
facebook.com,157.240.6.35
bing.com,13.107.21.200,204.79.197.200
qq.com,61.129.7.47,123.151.137.18,183.3.226.35,203.205.254.157
yahoo.com,54.161.105.65,74.6.143.25,74.6.143.26,74.6.231.20,74.6.231.21,98.137.11.163,98.137.11.164,34.225.127.72
amazon.com,52.94.236.248,54.239.28.85,205.251.242.103
wikipedia.org,108.160.169.174
